timestamp,Left_Heel,Left_Middle,Left_Top,Right_Heel,Right_Middle,Right_Top
1734602898.9025495,562,3296,158,670,0,631
1734602898.974221,579,3281,158,385,0,407
1734602899.0829773,506,2919,98,2772,0,2548
1734602899.144996,597,2598,46,97,102,129
1734602899.2085726,615,1689,0,759,527,685
1734602899.2714646,627,337,0,0,0,0
1734602899.38241,642,0,0,170,417,186
1734602899.4424767,0,2810,243,35,173,74
1734602899.5093975,0,2895,304,112,179,129
1734602899.5731382,0,3277,322,31,135,70
1734602899.632381,0,2674,123,0,135,284
1734602899.6923153,109,781,0,0,149,3833
1734602899.753287,563,0,0,0,0,3840
1734602899.804019,1234,0,16,0,103,17
1734602899.8736846,597,0,42,226,0,241
1734602899.9313867,326,0,127,189,0,187
1734602899.9829404,2523,284,2463,125,0,123
1734602900.0518546,4095,487,3312,90,7,114
1734602900.1071362,2934,624,2546,48,68,73
1734602900.1707053,333,1599,0,550,0,496
1734602900.231685,430,3163,128,1980,0,1738
1734602900.2833889,495,3278,175,0,197,0
1734602900.3451345,563,3279,302,323,371,334
1734602900.4085846,735,3314,195,209,463,204
1734602900.4720776,741,3271,176,190,97,206
1734602900.5201435,772,3222,183,464,257,427
1734602900.5873616,1468,3248,183,0,66,3
1734602900.645712,1709,1716,0,0,132,0
1734602900.7081873,1803,351,0,84,185,95
1734602900.8333294,4095,195,1775,36,129,51
1734602900.8873246,0,3246,180,0,101,1467
1734602900.9505925,0,3292,196,0,0,3804
1734602900.999144,0,3327,205,963,841,901
1734602901.0745106,0,3355,215,234,155,270
1734602901.1322672,0,3317,247,21,62,84
1734602901.2472422,0,3279,272,86,26,128
1734602901.3019006,0,3375,290,7,0,47
1734602901.3728836,0,3376,303,0,201,0
1734602901.430805,0,3411,310,0,166,16
1734602901.4869654,0,3376,322,0,444,16
1734602901.552991,0,3394,336,994,476,845
1734602901.6104653,4095,0,2640,0,0,0
1734602901.6704838,1653,1072,681,0,0,0
1734602901.7315433,1383,0,567,294,277,307
1734602901.7908819,4095,395,2791,29,39,64
1734602901.852492,4095,430,2717,159,85,152
1734602901.9013171,3700,371,2451,62,189,66
1734602901.972819,4095,0,2698,0,214,1376
1734602902.0909426,801,1905,0,16,270,2
1734602902.1528533,1355,0,414,0,146,3246
1734602902.207138,3312,351,2259,688,336,714
1734602902.2737675,2883,261,1924,241,96,277
1734602902.3301752,0,3274,272,0,6,0
1734602902.3931365,0,3351,301,126,23,159
1734602902.451831,0,3374,321,138,67,167
1734602902.513272,0,3375,327,62,103,80
1734602902.5731056,0,3366,338,0,74,7
1734602902.6280105,0,3152,301,0,0,23
1734602902.6911995,0,2660,229,80,237,149
1734602902.7524846,0,2640,240,264,0,275
1734602902.806151,0,2396,214,190,421,181
1734602902.8725097,0,1682,156,883,560,750
1734602902.9338534,0,608,78,42,0,83
1734602902.9844368,0,1367,111,64,19,85
1734602903.106781,2647,289,1990,164,240,154
1734602903.2185297,506,400,171,0,0,0
1734602903.3521373,0,3248,165,0,255,0
1734602903.4025903,135,3127,155,41,153,58
1734602903.4730039,196,3242,169,49,178,64
1734602903.5238032,137,3245,170,0,0,3753
1734602903.593366,79,3243,173,321,290,309
1734602903.652309,188,2862,91,489,0,551
1734602903.699408,188,3035,116,622,0,603
1734602903.7741683,598,208,34,337,0,383
1734602903.8276274,461,1991,0,269,0,320
1734602903.8946378,493,3301,169,0,0,45
1734602903.952391,570,3280,162,15,0,59
1734602904.007651,635,3285,169,227,0,240
1734602904.07159,661,3273,172,208,0,229
1734602904.1264186,619,3246,164,99,113,174
1734602904.1907964,733,3274,165,449,400,403
1734602904.2528653,951,2128,0,0,0,0
1734602904.3008928,708,1488,0,0,0,15
1734602904.3726044,855,1819,0,400,407,369
1734602904.4283617,1079,1388,0,313,293,292
1734602904.4894335,461,548,0,0,29,12
1734602904.5519023,557,0,0,0,32,0
1734602904.6138482,1004,0,412,0,129,0
1734602904.673665,1180,0,589,0,112,0
1734602904.7189372,1059,0,503,0,72,0
1734602904.7914755,999,0,432,37,393,64
1734602904.8387566,2857,0,1489,0,576,1489
1734602904.906997,1054,1631,0,128,0,400
1734602904.973904,1007,323,0,0,0,126
1734602905.0215132,4095,293,2559,0,0,23
1734602905.093569,4095,370,2735,109,63,157
1734602905.150258,4095,427,2826,86,61,138
1734602905.2072315,4095,0,3259,0,16,34
1734602905.321483,2186,162,1490,0,80,33
1734602905.388327,879,206,169,0,651,0
1734602905.447669,637,1494,0,915,384,790
1734602905.5123808,698,2055,0,1072,818,1044
1734602905.559792,650,3070,126,91,354,197
1734602905.6942904,817,3053,133,539,585,495
1734602905.742597,842,3110,123,93,219,117
1734602905.8133001,911,2549,45,93,98,112
1734602905.8710735,947,1637,0,0,119,18
1734602905.9271607,1782,767,993,0,256,0
1734602905.9908485,4095,426,2994,0,335,3839
1734602906.0526369,47,3294,159,0,176,3814
1734602906.1073377,41,3264,165,0,0,3883
1734602906.1751745,23,2510,29,23,4,139
1734602906.2276936,0,3328,154,49,0,176
1734602906.2912004,0,3280,163,121,0,169
1734602906.3461843,0,3301,173,35,0,128
1734602906.4586508,0,3326,166,222,121,256
1734602906.5920758,0,2602,80,368,0,368
1734602906.6525617,50,1721,48,208,390,179
1734602906.701323,4095,0,2064,80,208,98
1734602906.7712212,4095,304,2282,24,511,70
1734602906.8888228,2518,437,1056,643,550,523
1734602906.9528422,4095,304,2171,0,140,54
1734602907.0731375,4095,0,2127,285,282,370
1734602907.133812,1171,1987,0,86,0,227
1734602907.1921566,4095,218,2329,90,48,240
1734602907.2386172,4095,355,2512,0,377,3998
1734602907.302607,2554,135,1294,0,80,3830
1734602907.4323797,23,0,157,19,2,126
1734602907.48316,0,0,54,48,0,129
1734602907.5421624,0,0,62,10,0,105
1734602907.6065319,0,325,61,98,65,176
1734602907.6728349,0,1018,106,91,47,145
1734602907.7255175,0,1975,207,245,0,285
1734602907.7925673,0,3063,325,281,106,331
1734602907.842512,0,3360,387,2034,0,1874
1734602907.9112349,0,3365,373,562,94,555
1734602907.9584808,0,3376,367,0,0,0
1734602908.031451,0,3449,352,0,0,0
1734602908.0847862,0,3405,338,83,46,141
1734602908.1528623,1995,0,786,459,473,443
1734602908.2026036,2045,22,911,0,64,35
1734602908.273419,2102,38,962,1850,1575,0
1734602908.3212252,2495,119,1345,2815,2256,33
1734602908.3887758,2734,176,1591,763,683,0
1734602908.4520793,2758,192,1648,0,229,3861
1734602908.499323,4058,0,2295,0,274,3906
1734602908.6314254,3135,321,2177,0,37,64
1734602908.6880653,2797,277,1984,0,0,41
1734602908.7474778,2222,199,1567,45,15,121
1734602908.8129733,1423,98,919,0,0,65
1734602908.8720937,0,1006,0,5,54,83
1734602908.932758,0,995,0,80,155,111
1734602909.0535796,0,782,0,460,0,437
1734602909.1038666,128,0,157,1559,0,1373
1734602909.170898,2019,196,1873,839,372,797
1734602909.2185528,4095,0,3338,0,263,0
1734602909.2905881,4095,410,3105,0,197,0
1734602909.3377268,4055,475,3001,0,182,0
1734602909.4026937,1535,411,934,336,387,352
1734602909.5341387,590,3295,170,117,263,49
1734602909.5894783,710,689,45,211,284,212
1734602909.6527238,650,0,127,291,442,0
1734602909.7137988,3551,383,2683,2112,1889,0
1734602909.7722917,3637,496,2871,1246,1253,0
1734602909.8251343,3184,477,2743,0,326,3846
1734602909.8930197,4095,493,3281,0,0,3906
1734602909.9403977,1613,2086,1253,64,0,178
1734602910.1331754,718,0,695,119,0,238
1734602910.2450867,0,3319,272,9,0,119
1734602910.3703306,0,3381,277,224,427,355
