timestamp,Right_Heel,Right_Middle,Right_Top
1736322819.9441724,1535,765,144
1736322820.0040472,3600,0,0
1736322820.0722911,14,0,0
1736322820.1291401,1258,0,0
1736322820.1841261,0,507,122
1736322820.251009,0,491,242
1736322820.3109953,32,0,0
1736322820.4251406,10,0,0
1736322820.4907525,0,320,60
1736322820.5500717,0,800,175
1736322820.605197,0,241,67
1736322820.7316387,4095,0,0
1736322820.7924957,1277,157,11
1736322820.8518813,130,537,101
1736322820.9103653,562,70,0
1736322820.970867,0,606,131
1736322821.0310147,0,1285,320
1736322821.1519117,466,812,201
1736322821.2108414,0,3613,868
1736322821.2690234,0,3705,976
1736322821.332637,0,1901,553
1736322821.3850985,0,784,213
1736322821.4499533,128,1235,438
1736322821.5097997,0,3431,819
1736322821.5688238,0,4095,1069
1736322821.6304371,0,4095,1077
1736322821.6908677,0,4095,1050
1736322821.7515612,4095,0,33
1736322821.8036714,4058,0,85
1736322821.8712523,2862,0,0
1736322821.9317975,2374,0,0
1736322821.984833,1934,0,0
1736322822.0515282,3041,0,0
1736322822.1099057,2335,0,0
1736322822.1711533,3168,0,180
1736322822.2912521,3551,0,0
1736322822.3441684,448,0,0
1736322822.411029,404,0,0
1736322822.4720006,4095,0,0
1736322822.5305877,4095,0,45
1736322822.5883627,4095,0,0
1736322822.650774,2559,0,0
1736322822.7108374,2115,0,0
1736322822.7720325,1711,0,0
1736322822.8319614,1681,0,0
1736322823.0056996,931,0,0
1736322823.064885,928,0,0
1736322823.1264176,1131,0,0
1736322823.192152,1712,0,0
1736322823.2505696,4095,0,0
1736322823.3711517,480,133,3
1736322823.485253,778,154,6
1736322823.5486598,508,190,17
1736322823.603714,0,1136,270
1736322823.6715157,4095,0,103
1736322823.7290864,837,0,0
1736322823.7894328,2717,0,0
1736322823.8509889,2997,0,0
1736322823.96682,1766,0,0
1736322824.0310373,117,2431,719
1736322824.0929723,33,1152,309
1736322824.1465101,2960,0,0
1736322824.2110174,0,3576,848
1736322824.264742,0,3699,966
1736322824.3308938,0,3490,934
1736322824.3850596,1613,0,83
1736322824.4499984,2405,0,0
1736322824.5066595,0,1130,245
1736322824.632813,0,839,182
1736322824.689132,0,2595,627
1736322824.7455606,0,3358,1086
1736322824.8109932,3,1232,370
1736322824.8709648,1515,1287,275
1736322824.9310036,0,2618,630
1736322824.9919312,0,2349,581
1736322825.0519128,2115,0,0
1736322825.1116757,0,2807,912
1736322825.1724086,0,2383,624
1736322825.225633,0,1571,373
1736322825.2846704,0,2664,620
1736322825.351389,0,3780,887
1736322825.410937,0,3605,1283
1736322825.4692097,1331,1410,622
1736322825.530316,1392,49,15
1736322825.5881312,2110,2620,574
1736322825.6496859,0,2470,590
1736322825.7087588,0,422,98
1736322825.7687669,1584,0,0
1736322825.829841,2559,0,166
1736322825.892135,0,1583,343
1736322826.005679,1359,407,64
1736322826.0654783,1519,478,80
1736322826.1310182,0,1643,406
1736322826.1911535,0,3163,914
1736322826.2518682,0,2704,687
1736322826.3117957,0,3673,879
1736322826.3661015,1429,2092,494
1736322826.4279292,2481,0,0
1736322826.5524805,4095,0,129
1736322826.6104918,3918,0,0
1736322826.6719117,656,0,0
1736322826.7317626,4095,0,0
1736322826.7910044,3600,0,0
1736322826.849589,887,0,0
1736322826.9712167,503,96,0
1736322827.0327365,0,0,0
1736322827.0889852,1486,0,0
1736322827.1523452,2323,0,0
1736322827.2101216,1280,0,0
1736322827.2712538,0,2687,857
1736322827.3306618,0,3675,911
1736322827.3862364,0,3774,941
1736322827.4472182,4095,0,16
1736322827.5105495,0,3630,839
1736322827.5646777,2466,0,11
1736322827.6321487,2047,0,86
1736322827.751772,2580,0,0
1736322827.8109877,2446,0,0
1736322827.8719442,0,3645,880
1736322827.9310155,0,2513,662
1736322827.9917207,0,324,208
1736322828.1048443,0,105,1
1736322828.1645374,0,176,16
1736322828.2272053,1727,177,13
1736322828.2911887,0,897,197
1736322828.3510094,0,2613,619
1736322828.4108396,0,3235,1020
1736322828.468733,0,1190,362
1736322828.5317128,0,841,192
1736322828.591874,0,1191,272
1736322828.6509986,0,2791,666
1736322828.7079084,0,838,274
1736322828.7710779,0,2289,973
1736322828.8322573,0,657,205
1736322828.891005,0,806,176
1736322828.9517002,124,0,0
1736322829.0102983,64,59,0
1736322829.0687282,0,546,162
1736322829.132328,53,54,171
1736322829.189457,170,195,30
1736322829.2514987,342,128,11
1736322829.312407,1095,0,0
1736322829.3692057,224,1462,309
1736322829.4293196,1680,164,64
1736322829.4910178,0,3486,1155
1736322829.5486941,17,0,98
1736322829.611029,0,1855,428
1736322829.6710923,0,1866,443
1736322829.7225654,240,157,24
1736322829.852024,0,1519,528
1736322829.9115095,337,2014,458
1736322829.9720325,836,364,78
1736322830.0236685,1535,523,95
1736322830.0912502,4095,0,0
1736322830.143681,797,2206,543
1736322830.2111554,0,2830,874
1736322830.269073,0,2385,623
1736322830.3310301,0,330,93
1736322830.3842142,143,1349,304
1736322830.4516795,0,738,166
1736322830.571887,2506,0,118
1736322830.6308086,3713,0,0
1736322830.689045,1388,0,0
1736322830.7521138,752,142,2
1736322830.8108454,1794,0,0
1736322830.924244,0,3613,1001
1736322830.991897,0,3963,976
1736322831.0519187,0,3903,971
1736322831.107197,0,3760,937
1736322831.1697838,0,3863,963
1736322831.2298293,0,3536,950
1736322831.2917747,0,2837,946
1736322831.3507059,1087,438,138
1736322831.410816,4017,0,0
1736322831.4704819,2537,0,0
1736322831.5306294,1935,0,0
1736322831.6517308,3217,0,139
1736322831.7101333,345,0,0
1736322831.7712798,1428,0,0
1736322831.831382,1227,0,0
1736322831.8911495,1192,0,0
1736322831.9524643,1190,233,80
1736322832.0061235,1023,324,214
1736322832.0714066,2160,3253,754
1736322832.1297514,4095,0,0
1736322832.1911535,0,3865,889
1736322832.2423506,0,3927,970
1736322832.30862,0,3983,1099
1736322832.3706284,538,0,127
1736322832.4324582,224,0,0
1736322832.4925115,0,0,0
1736322832.5474117,0,46,0
1736322832.6119833,0,67,0
1736322832.6642332,0,2145,539
1736322832.7323003,426,160,218
1736322832.7906368,272,0,0
1736322832.8515432,475,0,0
1736322832.9712787,81,0,0
1736322833.030762,81,0,0
1736322833.0895345,417,0,0
1736322833.1472614,399,0,138
1736322833.2110498,691,0,0
1736322833.2716682,703,0,0
1736322833.3315904,1168,0,0
1736322833.3911557,2197,0,0
1736322833.4512935,2489,0,0
1736322833.5124238,2643,0,108
1736322833.5669758,1671,0,0
1736322833.6324732,2064,0,0
1736322833.6822422,2162,0,0
1736322833.748708,210,687,141
1736322833.8109446,0,320,122
1736322833.8686833,2434,0,94
1736322833.929899,2787,0,0
1736322834.0511749,1949,0,0
1736322834.1066086,2932,0,0
1736322834.164663,1877,0,0
1736322834.2326126,650,0,0
1736322834.29032,701,0,107
1736322834.4098196,3395,0,0
1736322834.4687827,3133,0,0
1736322834.529816,3041,0,0
1736322834.5899112,0,3523,863
1736322834.6542733,589,0,108
1736322834.8286307,165,0,0
1736322834.8863487,1639,0,0
1736322834.9512672,0,667,179
1736322835.0078206,1334,0,128
1736322835.0684743,2622,0,0
1736322835.1259756,127,531,92
1736322835.1904078,0,4095,1023
1736322835.2520127,2069,0,71
1736322835.3110037,0,3427,834
1736322835.3714526,0,2906,887
1736322835.4318254,0,1421,384
1736322835.492888,0,38,3
1736322835.5522807,1072,0,0
1736322835.6043487,3009,0,0
1736322835.664491,4095,0,0
1736322835.7909539,4095,0,108
1736322835.8481748,3246,0,0
1736322835.911277,2833,0,0
1736322835.9692304,4095,0,0
1736322836.0325117,0,0,0
1736322836.0911732,1711,0,0
1736322836.1539931,231,363,245
1736322836.2103934,3583,0,0
1736322836.269962,964,0,0
1736322836.3309662,3504,0,0
1736322836.3895874,4095,0,0
1736322836.4516175,3293,0,0
1736322836.5115974,741,258,210
1736322836.5705824,2148,0,0
1736322836.631545,752,0,0
1736322836.6916792,1157,0,0
1736322836.751608,539,25,0
1736322836.8105628,913,0,0
1736322836.8705995,1487,0,111
1736322836.9288905,3975,0,0
1736322836.989541,4095,0,0
1736322837.0515988,4095,0,0
1736322837.1116045,3979,0,0
1736322837.1715477,1393,0,0
1736322837.2313223,2158,0,100
1736322837.2911685,192,371,60
1736322837.350924,267,0,0
1736322837.4715261,0,1144,256
1736322837.5226912,24,1220,271
1736322837.5915859,0,1693,442
1736322837.6519754,0,180,192
1736322837.7080934,0,434,81
1736322837.768672,0,144,9
1736322837.8268602,0,31,0
