timestamp,Left_Heel,Left_Middle,Left_Top,Right_Heel,Right_Middle,Right_Top
1736322818.0876412,4095,0,3611,813,675,131
1736322818.156274,0,4095,0,4095,0,0
1736322818.215171,0,4007,243,0,301,55
1736322818.2737129,4095,0,3923,0,3305,800
1736322818.3330479,4095,265,3616,0,1599,528
1736322818.3910198,4095,0,3561,849,0,0
1736322818.4554095,0,3741,161,862,0,0
1736322818.5729496,4095,0,3666,0,1114,273
1736322818.689266,4095,0,3389,465,0,94
1736322818.7567875,2945,0,3453,427,0,0
1736322818.817028,2861,0,2287,98,1035,211
1736322818.8726997,3306,0,3503,1648,2354,511
1736322818.9332175,560,1277,819,0,2768,641
1736322818.9939685,2054,46,1162,766,55,48
1736322819.0531058,3959,0,3486,1234,0,80
1736322819.1686609,1071,0,549,0,786,166
1736322819.23241,686,230,1593,481,1008,207
1736322819.3563025,0,640,347,1803,0,0
1736322819.4156656,1662,0,2303,4095,0,0
1736322819.4688454,863,0,1906,739,817,176
1736322819.5357656,315,0,480,293,3230,980
1736322819.596181,313,20,1089,0,2463,560
1736322819.7142832,741,192,1743,1456,0,0
1736322819.7727323,442,1712,90,1041,334,51
1736322819.8355002,1227,363,2608,448,1152,267
1736322819.8957999,0,835,645,749,0,125
1736322819.8964288,617,0,593,1535,765,144
1736322819.9542692,0,663,663,3600,0,0
1736322820.0763633,0,250,615,14,0,0
1736322820.132926,0,144,242,1258,0,0
1736322820.1971338,0,0,442,0,507,122
1736322820.2562008,0,448,463,0,491,242
1736322820.3134248,629,0,1347,32,0,0
1736322820.4360924,323,32,302,10,0,0
1736322820.4907525,0,1466,853,0,320,60
1736322820.5544662,94,1682,86,0,800,175
1736322820.6242647,1168,205,1705,0,241,67
1736322820.736198,762,1349,254,4095,0,0
1736322820.7963758,154,128,1402,1277,157,11
1736322820.8576229,48,1975,14,130,537,101
1736322820.9148955,0,261,285,562,70,0
1736322820.97295,0,1588,297,0,606,131
1736322821.0394785,0,287,426,0,1285,320
1736322821.095012,0,3227,232,466,812,201
1736322821.21287,4095,0,3307,0,3613,868
1736322821.2690234,4095,2957,1,0,3705,976
1736322821.3335443,2057,3387,186,0,1901,553
1736322821.3937051,307,3492,197,0,784,213
1736322821.4569461,0,118,3992,128,1235,438
1736322821.5097997,4095,0,3953,0,3431,819
1736322821.5688238,4095,3218,87,0,4095,1069
1736322821.6362498,4095,0,55,0,4095,1077
1736322821.6963801,4095,3283,0,0,4095,1050
1736322821.7550159,0,3424,1950,4095,0,33
1736322821.8138752,2193,3258,192,4058,0,85
1736322821.8743818,4095,0,3723,2862,0,0
1736322821.936441,0,2436,1054,2374,0,0
1736322821.9952855,0,0,4094,1934,0,0
1736322822.0566163,4095,0,0,3041,0,0
1736322822.1099057,4095,0,3726,2335,0,0
1736322822.1711533,0,3410,4095,3168,0,180
1736322822.2359383,3965,3280,202,3551,0,0
1736322822.3557808,0,4095,1,448,0,0
1736322822.414007,0,0,4070,404,0,0
1736322822.4740527,0,3462,4095,4095,0,0
1736322822.536268,2999,0,3669,4095,0,45
1736322822.5883627,0,3817,183,4095,0,0
1736322822.6568758,4019,0,3446,2559,0,0
1736322822.7168407,0,3427,209,2115,0,0
1736322822.7767243,329,3322,195,1711,0,0
