timestamp,Right_Heel,Right_Middle,Right_Top
1734603948.5568044,0,533,339
1734603948.6160135,0,182,145
1734603948.67303,541,239,0
1734603948.7341282,715,243,0
1734603948.7947087,483,259,0
1734603948.8546247,495,389,0
1734603948.9040773,3819,421,3632
1734603948.97564,1367,0,0
1734603949.0337408,1669,943,448
1734603949.0960257,244,2011,0
1734603949.154528,233,2489,16
1734603949.2701864,1594,715,342
1734603949.3329897,46,165,0
1734603949.3897893,16,132,0
1734603949.4579046,2,112,0
1734603949.5013363,34,138,0
1734603949.576373,9,124,0
1734603949.693294,0,96,0
1734603949.7559395,13,112,0
1734603949.81423,0,179,0
1734603949.8758917,0,247,42
1734603949.9220564,0,307,95
1734603949.9886901,355,666,3457
1734603950.0556178,4095,3418,0
1734603950.1137834,155,240,1120
1734603950.1760921,192,156,16
1734603950.2348852,0,0,315
1734603950.283774,0,105,441
1734603950.354629,0,128,468
1734603950.412801,0,195,502
1734603950.4744036,110,55,592
1734603950.5362704,1483,738,0
1734603950.591416,1474,846,0
1734603950.652124,469,2609,47
1734603950.7110791,183,211,0
1734603950.7758925,0,81,0
1734603950.8327813,26,95,0
1734603950.8888965,44,114,0
1734603951.0162034,0,140,0
1734603951.0708942,0,163,0
1734603951.1326973,944,1495,1279
1734603951.1970189,274,0,0
1734603951.2546592,3155,0,389
1734603951.3046403,1088,909,233
1734603951.3755448,838,291,0
1734603951.4355857,487,106,0
1734603951.4955351,342,93,0
1734603951.5415542,238,91,0
1734603951.6107838,152,59,0
1734603951.7346897,0,0,10
1734603951.7946742,1488,345,0
1734603951.8547056,1074,3398,192
1734603951.8553433,439,1781,0
1734603951.911944,1169,1467,478
1734603951.9764423,382,217,0
1734603952.0319588,595,431,218
1734603952.0958216,150,112,0
1734603952.1520433,21,50,0
1734603952.2165334,21,90,0
1734603952.2747886,0,107,0
1734603952.336321,0,141,0
1734603952.4392521,0,133,0
1734603952.5160124,0,176,0
1734603952.5699067,0,307,111
1734603952.6339555,3278,0,0
1734603952.6846974,2950,0,0
1734603952.8160112,2063,776,0
1734603952.8701036,785,265,0
1734603952.9302077,734,320,0
1734603952.9954073,856,604,0
1734603953.0543382,1239,1514,0
1734603953.1163,1314,235,0
1734603953.1737165,2183,0,539
1734603953.235695,337,3305,208
1734603953.2951136,1040,3013,147
1734603953.3559232,0,95,0
1734603953.404902,0,67,0
1734603953.5320914,0,62,0
1734603953.594869,80,91,0
1734603953.6558495,39,90,0
1734603953.7051992,51,124,0
1734603953.776511,3,112,0
1734603953.8360546,177,0,0
1734603953.9541225,326,1,0
1734603954.0108821,622,0,0
1734603954.0758862,697,334,0
1734603954.134693,791,528,0
1734603954.1952028,596,458,0
1734603954.3158734,501,654,0
1734603954.3755157,409,3467,160
1734603954.4264855,350,1733,0
1734603954.4808156,350,354,80
1734603954.5464234,535,466,257
1734603954.5555012,782,727,507
1734603954.610431,210,216,18
1734603954.669479,163,176,0
1734603954.7241468,75,117,0
1734603954.7890525,64,129,0
1734603954.8553343,39,93,0
1734603954.9170063,0,96,0
1734603954.9720876,0,79,0
1734603955.0284405,0,95,0
1734603955.1540964,0,95,0
1734603955.2154953,0,103,0
1734603955.2705228,0,101,0
1734603955.33503,0,135,0
1734603955.3932602,0,109,0
1734603955.4572513,2846,0,0
1734603955.516199,461,1018,2000
1734603955.5745192,4095,3162,64
1734603955.6225975,1635,1657,0
1734603955.695317,901,0,173
1734603955.7445004,409,1680,0
1734603955.871708,0,400,240
1734603955.9339452,132,0,704
1734603955.9816186,806,389,0
1734603956.0545633,1437,985,0
1734603956.114631,240,226,2
1734603956.1750665,644,613,405
1734603956.2366452,82,73,0
1734603956.293089,35,48,0
1734603956.341321,55,80,0
1734603956.5245702,11,112,0
1734603956.5808086,0,85,0
1734603956.6529808,0,107,0
1734603956.716446,3475,0,0
1734603956.770416,3376,0,0
1734603956.835891,2110,0,0
1734603956.9544654,1184,323,0
1734603957.0026953,896,311,230
1734603957.016472,602,256,289
1734603957.1231325,1500,1867,0
1734603957.196764,1534,306,83
1734603957.2553499,862,730,369
1734603957.316511,0,151,0
1734603957.3719308,0,132,0
1734603957.4350703,262,366,144
1734603957.4899657,690,764,540
1734603957.5455012,0,83,0
1734603957.6099908,13,109,0
1734603957.7356508,0,90,0
1734603957.7959957,0,89,0
1734603957.8533988,0,113,0
1734603957.914973,0,131,0
1734603957.9728413,0,203,9
1734603958.024724,496,1267,2384
1734603958.0965908,1209,544,0
1734603958.152379,4095,3369,0
1734603958.2133353,3121,2313,154
1734603958.2148397,0,0,4095
1734603958.2730334,0,509,3777
1734603958.3362362,3376,2559,33
1734603958.392124,0,38,939
1734603958.4555357,29,0,327
1734603958.5164196,0,15,537
1734603958.576287,831,242,0
1734603958.6345868,23,119,0
1734603958.6942818,26,80,0
1734603958.7421248,890,782,600
1734603958.8146827,35,144,27
1734603958.8744886,0,0,0
1734603958.935317,0,0,0
1734603959.0556428,0,0,0
1734603959.1041775,0,0,0
1734603959.1751244,0,0,0
1734603959.231538,27,90,43
1734603959.280296,0,3,0
1734603959.3551948,373,0,212
1734603959.4117153,336,0,90
1734603959.4749732,1456,1387,534
1734603959.5333655,3966,3388,192
1734603959.5954554,0,1555,4083
1734603959.6432464,94,0,0
1734603959.7154965,33,0,26
1734603959.7754052,0,0,0
1734603959.8328981,0,0,35
1734603959.8954713,0,0,70
1734603959.9553843,0,0,125
1734603960.0173428,753,768,583
1734603960.1286333,15,117,0
1734603960.1956987,0,48,0
1734603960.3146331,0,32,0
1734603960.3739192,0,31,0
1734603960.4329941,0,250,320
1734603960.4937046,1424,0,0
1734603960.5440469,544,0,0
1734603960.6084125,720,0,0
1734603960.720462,2773,0,0
1734603960.7926114,1063,214,535
1734603960.8515964,1041,329,670
1734603960.907942,719,258,254
1734603960.9640584,389,0,0
1734603961.0813642,385,60,0
1734603961.2146914,2448,106,0
1734603961.2747357,1328,31,570
1734603961.330356,108,2846,74
1734603961.3945446,117,2514,17
1734603961.4542525,0,53,0
1734603961.5138407,0,100,0
1734603961.5753207,0,65,0
1734603961.6333697,0,85,0
1734603961.6892433,0,49,0
1734603961.7563972,2239,227,2460
1734603961.815563,4095,3155,126
1734603961.873869,272,746,692
1734603961.921171,886,0,1391
1734603961.9939814,134,165,1168
1734603962.043859,819,0,910
1734603962.109145,175,0,467
1734603962.1750457,111,0,464
1734603962.2217653,0,0,385
1734603962.2961211,0,0,422
1734603962.355094,0,80,384
1734603962.4140704,225,451,128
1734603962.4735143,187,304,78
1734603962.5833616,0,117,0
1734603962.596977,0,118,0
1734603962.6548362,94,239,55
1734603962.7129676,0,87,0
1734603962.7764177,0,84,0
1734603962.8355517,0,79,0
1734603962.8939934,0,49,0
1734603963.014124,0,69,0
1734603963.071578,0,96,0
1734603963.1263714,0,93,0
1734603963.1960752,742,0,0
1734603963.254939,2286,0,0
1734603963.313085,2445,12,0
1734603963.3733304,1581,506,0
1734603963.495715,962,635,271
1734603963.5523386,0,27,103
1734603963.614553,0,124,240
1734603963.669337,0,464,228
1734603963.7332444,4095,3475,0
1734603963.7903798,853,3406,167
1734603963.8536692,748,1687,0
1734603963.912953,562,3340,172
1734603963.9752939,6,129,0
1734603964.034649,77,154,0
1734603964.0955162,0,61,0
1734603964.143584,21,86,0
1734603964.211647,65,113,0
1734603964.2746444,3,65,0
1734603964.3231096,0,64,0
1734603964.3882403,0,592,698
1734603964.5004387,384,0,0
1734603964.5761766,1499,0,0
1734603964.6205907,3182,0,0
1734603964.6886373,2688,0,0
1734603964.755088,63,48,0
1734603964.8151853,272,307,185
1734603964.8689852,0,51,0
1734603964.9349213,0,42,0
1734603964.9893196,0,80,0
1734603965.0526264,0,146,48
1734603965.1133435,0,231,133
1734603965.175187,0,144,52
1734603965.2352972,239,282,0
1734603965.352475,784,797,599
1734603965.4763691,131,214,55
1734603965.5225043,0,97,0
1734603965.594219,0,102,0
1734603965.6524677,0,78,0
1734603965.7078593,0,69,0
1734603965.7750492,0,85,0
1734603965.8209257,0,108,0
1734603965.891832,0,107,0
1734603966.0124736,0,141,0
1734603966.0724237,0,208,54
1734603966.1241171,0,249,87
1734603966.192711,827,1,0
1734603966.2536864,741,705,0
1734603966.3059368,753,228,0
1734603966.3740778,1567,0,722
1734603966.4341154,597,228,0
1734603966.495695,849,502,0
1734603966.5563028,397,0,0
1734603966.616836,104,1850,0
1734603966.6710753,555,669,278
1734603966.7932365,63,290,95
1734603966.8543289,0,144,0
1734603966.9161453,0,117,0
1734603966.9728937,0,114,0
1734603967.033321,0,131,0
1734603967.093943,0,118,0
1734603967.2136395,0,128,0
1734603967.276435,0,177,8
